epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.3433,1.09627,2.84785,1.19451,0.01,0.72047,0.20854,0.14647,0.92639,2.98483,1.02196,6e-05,6e-05,6e-05
2,40.6875,1.06426,2.56719,1.1339,0.01126,0.81102,0.34932,0.27166,0.91387,2.90515,0.99515,0.000138614,0.000138614,0.000138614
3,58.7345,1.15204,1.91647,1.13142,0.01148,0.82677,0.41902,0.32035,0.95103,2.73147,0.98644,0.000215644,0.000215644,0.000215644
4,76.6057,1.1038,1.516,1.10177,0.98104,0.20374,0.42338,0.30367,1.04658,2.57433,1.05307,0.00029109,0.00029109,0.00029109
5,95.2678,1.09081,1.48338,1.14749,0.96766,0.2356,0.40792,0.29563,1.09879,2.58295,1.08739,0.000364952,0.000364952,0.000364952
6,113.034,1.13474,1.45677,1.14201,0.93704,0.23439,0.39985,0.29563,1.10217,2.57054,1.08768,0.00043723,0.00043723,0.00043723
7,130.758,1.15684,1.43281,1.11346,0.96756,0.23487,0.42521,0.31044,1.10883,2.548,1.09811,0.000507924,0.000507924,0.000507924
8,148.917,1.15088,1.40981,1.18977,0.93168,0.26844,0.45391,0.31903,1.15086,2.52554,1.11097,0.000577034,0.000577034,0.000577034
9,166.827,1.29852,1.33743,1.19956,0.94151,0.31686,0.45325,0.30257,1.22752,2.48015,1.14779,0.00064456,0.00064456,0.00064456
10,184.698,1.14807,1.4405,1.23929,0.88342,0.29835,0.40883,0.28905,1.18849,2.46196,1.11801,0.000710502,0.000710502,0.000710502
11,202.531,1.0905,1.34723,1.16697,0.80273,0.29528,0.37732,0.26419,1.24755,2.52783,1.17249,0.00077486,0.00077486,0.00077486
12,220.211,1.16431,1.43845,1.19082,0.87842,0.31291,0.39484,0.2521,1.30751,2.51447,1.29918,0.000837634,0.000837634,0.000837634
13,238.019,1.19212,1.33192,1.13951,0.65409,0.24016,0.33221,0.19544,1.48528,2.60772,1.41305,0.000898824,0.000898824,0.000898824
14,255.697,1.23328,1.35223,1.20647,0.54376,0.25197,0.32962,0.19574,1.44406,2.55878,1.3615,0.00095843,0.00095843,0.00095843
15,273.738,1.20135,1.32402,1.16803,0.58276,0.35433,0.37759,0.24903,1.29563,2.31017,1.24109,0.00101645,0.00101645,0.00101645
16,291.53,1.16567,1.24234,1.13754,0.58088,0.32283,0.36974,0.24242,1.2966,2.28215,1.26315,0.00107289,0.00107289,0.00107289
17,309.274,1.1413,1.25711,1.13836,0.52572,0.35827,0.35599,0.24025,1.27187,2.21384,1.24853,0.00112774,0.00112774,0.00112774
18,327.153,1.10195,1.24359,1.16257,0.57061,0.42378,0.4567,0.31343,1.21436,1.95583,1.19649,0.00118101,0.00118101,0.00118101
19,344.823,1.13003,1.23166,1.19045,0.63462,0.45669,0.49263,0.32533,1.24124,1.94746,1.22831,0.0012327,0.0012327,0.0012327
20,362.504,1.22029,1.27979,1.1782,0.66515,0.43014,0.49408,0.32226,1.24709,2.00316,1.24336,0.0012828,0.0012828,0.0012828
21,380.217,1.18404,1.23231,1.1454,0.66505,0.48425,0.53108,0.3573,1.19012,1.94677,1.18558,0.00133132,0.00133132,0.00133132
22,398.075,1.22394,1.33434,1.19793,0.70775,0.48425,0.54995,0.3691,1.27466,1.96042,1.25083,0.00137825,0.00137825,0.00137825
23,415.885,1.09134,1.20224,1.14543,0.68691,0.47244,0.50079,0.33374,1.29512,1.98532,1.28846,0.0014236,0.0014236,0.0014236
24,433.903,1.14536,1.22802,1.16666,0.65494,0.41846,0.4711,0.31903,1.30738,1.98805,1.26229,0.00146737,0.00146737,0.00146737
25,452.183,1.09669,1.14742,1.12552,0.67363,0.46318,0.5689,0.38413,1.26339,1.82816,1.22425,0.00150955,0.00150955,0.00150955
26,471.269,1.15516,1.23008,1.18376,0.7143,0.5748,0.66708,0.43613,1.21052,1.62268,1.20958,0.001505,0.001505,0.001505
27,490.726,1.07257,1.17524,1.172,0.70587,0.55906,0.66102,0.41172,1.22084,1.67628,1.217,0.0014852,0.0014852,0.0014852
28,509.501,1.15032,1.0873,1.1215,0.78592,0.57814,0.66596,0.4339,1.15674,1.52956,1.16834,0.0014654,0.0014654,0.0014654
29,528.26,1.07183,1.09743,1.10991,0.71849,0.59449,0.65878,0.46066,1.10362,1.43972,1.12302,0.0014456,0.0014456,0.0014456
30,546.236,1.18956,1.1365,1.14397,0.74315,0.59843,0.66836,0.46427,1.10198,1.41617,1.12139,0.0014258,0.0014258,0.0014258
31,563.863,1.08416,1.06792,1.13035,0.78667,0.5662,0.65945,0.46422,1.11723,1.42717,1.13149,0.001406,0.001406,0.001406
32,581.46,1.03956,1.09522,1.12075,0.76442,0.60236,0.65347,0.45013,1.10805,1.5224,1.14021,0.0013862,0.0013862,0.0013862
33,599.033,1.1762,1.12101,1.15505,0.7201,0.58747,0.64484,0.43426,1.15179,1.61716,1.16691,0.0013664,0.0013664,0.0013664
34,617.272,1.17487,1.116,1.13463,0.74413,0.57087,0.64376,0.43125,1.17721,1.599,1.19296,0.0013466,0.0013466,0.0013466
35,637.491,1.09201,1.13451,1.14089,0.74872,0.58661,0.65036,0.44905,1.15204,1.59492,1.15987,0.0013268,0.0013268,0.0013268
36,655.146,1.03448,1.08483,1.09607,0.78487,0.58661,0.67312,0.47182,1.11483,1.52465,1.14525,0.001307,0.001307,0.001307
37,672.769,1.09735,1.0323,1.08372,0.80495,0.59843,0.69943,0.48723,1.10579,1.44061,1.14933,0.0012872,0.0012872,0.0012872
38,690.416,1.03586,1.05453,1.09734,0.78421,0.6063,0.69066,0.48287,1.12642,1.41218,1.16209,0.0012674,0.0012674,0.0012674
39,708.235,0.98239,1.0034,1.09984,0.82204,0.57874,0.69581,0.49487,1.07538,1.3842,1.13198,0.0012476,0.0012476,0.0012476
40,726.034,0.98215,0.96281,1.05271,0.75903,0.66535,0.71983,0.51658,1.01963,1.28919,1.07956,0.0012278,0.0012278,0.0012278
41,743.586,1.00826,0.99657,1.09963,0.84394,0.63871,0.72007,0.52872,0.97985,1.24941,1.04833,0.001208,0.001208,0.001208
42,761.144,0.96524,0.95251,1.08217,0.87321,0.65075,0.75251,0.53774,1.01154,1.16561,1.05593,0.0011882,0.0011882,0.0011882
