epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.25,1.09627,2.84785,1.19451,0.01,0.72047,0.20854,0.14647,0.92639,2.98483,1.02196,6e-05,6e-05,6e-05
2,56.3916,1.06375,2.5699,1.1344,0.0112,0.80709,0.34545,0.26879,0.91289,2.90712,0.99526,0.000137228,0.000137228,0.000137228
3,80.2919,1.14647,1.93156,1.13043,0.01153,0.83071,0.41352,0.32383,0.94984,2.72712,0.98774,0.000211288,0.000211288,0.000211288
4,105.27,1.09113,1.5081,1.10356,0.95297,0.23935,0.43198,0.31426,1.01105,2.53299,1.0212,0.00028218,0.00028218,0.00028218
5,129.284,1.08217,1.48655,1.14002,0.94007,0.30315,0.44191,0.31436,1.05962,2.51139,1.04967,0.000349904,0.000349904,0.000349904
6,153.007,1.12024,1.42646,1.13382,0.98186,0.27559,0.43926,0.31404,1.09976,2.51585,1.07713,0.00041446,0.00041446,0.00041446
7,177.182,1.17307,1.44225,1.12437,0.96833,0.24077,0.42575,0.30068,1.12861,2.57106,1.09126,0.000475848,0.000475848,0.000475848
8,200.92,1.14252,1.40049,1.18933,0.95073,0.22789,0.42901,0.28737,1.16176,2.60683,1.11987,0.000534068,0.000534068,0.000534068
9,224.456,1.28739,1.32786,1.19426,0.95231,0.23586,0.41606,0.26296,1.23908,2.60436,1.15674,0.00058912,0.00058912,0.00058912
10,248.122,1.15856,1.43152,1.23257,0.90604,0.26576,0.39351,0.27007,1.24956,2.57742,1.1262,0.000641004,0.000641004,0.000641004
11,271.95,1.1004,1.31857,1.15326,0.93203,0.21595,0.35347,0.23908,1.2572,2.67157,1.16358,0.00068972,0.00068972,0.00068972
12,295.849,1.17333,1.428,1.17137,0.90269,0.21654,0.33428,0.19834,1.36082,2.73029,1.31163,0.000735268,0.000735268,0.000735268
13,319.766,1.17745,1.32105,1.16881,0.86095,0.24378,0.36017,0.22483,1.25779,2.58385,1.21664,0.000777648,0.000777648,0.000777648
